ra,dec
123.33041666666665,46.14694444444445
144.55124999999998,7.727777777777779
150.58374999999998,45.157500000000006
173.12125,3.9580555555555557
194.81958333333333,55.251944444444455
221.97583333333336,28.55666666666667
236.28125,17.164166666666667
237.5716666666667,41.650555555555556
238.6675,36.49777777777778
244.29749999999996,6.6425
118.66791666666664,32.68475
119.36791666666669,24.919472222222222
121.25125,34.04044444444445
125.13875000000003,38.40566666666667
128.10541666666666,37.12683333333333
131.81708333333333,37.53852777777778
142.57375,47.12269444444444
146.5870833333333,33.79624999999999
148.61499999999998,48.94413888888889
150.73416666666668,47.84108333333333
156.55833333333337,52.63111111111111
157.07375,21.252249999999997
169.94833333333332,23.594416666666667
170.67958333333328,36.6948888888889
172.79625000000001,37.619277777777775
174.27875,1.6633888888888892
181.17583333333334,27.903222222222226
188.0633333333333,13.342305555555557
189.58166666666668,41.405666666666676
194.48833333333334,32.49155555555556
220.51166666666666,43.61919444444445
224.48083333333335,43.84319444444445
229.01791666666668,35.84038888888889
233.56416666666667,30.576249999999998
239.62249999999997,27.28730555555555
241.92916666666667,43.47141666666668
